Source,Target,Weight
frod,sams,533
frod,ganda,181
merr,pipp,162
arag,frod,146
frod,goll,127
bilb,frod,126
ganda,pipp,124
arag,ganda,123
goll,sams,118
frod,pipp,115
frod,ring,110
gimli,lego,109
frod,shir,104
pipp,sams,101
frod,merr,86
arag,lego,84
arag,sams,75
arag,gimli,73
ganda,saru,72
boro,frod,68
ganda,ring,67
arag,merr,65
arag,pipp,64
arag,boro,63
isen,saru,63
merr,sams,63
arag,elro,59
ring,saur,59
ganda,theod,57
fara,frod,55
mord,saur,55
bilb,ganda,54
ganda,gimli,54
arag,gond,52
gond,roha,52
ganda,sams,51
arag,eome,50
sams,shir,50
arag,roha,49
bilb,shir,49
ganda,shir,49
frod,mord,48
ring,sams,46
elve,frod,45
frod,rive,45
ganda,gond,45
ganda,isen,45
ganda,lego,45
elro,ganda,44
elve,sams,43
ents,treeb,42
ganda,sfax,42
arag,orcs,41
bage,frod,41
ganda,merr,41
pipp,shir,41
andu,gond,40
arag,comp,40
dene,ganda,40
hobb,shir,40
elro,frod,39
ganda,saur,39
gond,saur,38
bree,shir,37
fara,gond,37
ganda,mord,37
ganda,roha,37
arag,tiri,36
bilb,sams,36
eome,theod,36
fara,ganda,36
ganda,mori,36
dene,pipp,35
orth,saru,35
arag,mord,34
comp,frod,34
frod,gimli,34
frod,orcs,34
ganda,treeb,34
merr,shir,34
mord,sams,34
boro,ganda,33
ganda,orth,33
arag,saur,32
arag,theod,32
roha,saru,32
arag,fara,31
arag,ring,30
bilb,ring,30
boro,comp,30
boro,pipp,30
boro,ring,30
gond,pipp,30
pipp,orcs,30
roha,theod,30
arag,arat,29
dene,fara,29
ring,shir,29
arag,elen,28
arag,rive,28
boro,gond,28
frod,lego,28
merr,treeb,28
saru,saur,28
arag,bree,27
arag,shir,27
bere,pipp,27
boro,dene,27
boro,fara,27
boro,tiri,27
dene,gond,27
elro,ring,27
elro,rive,27
eome,roha,27
fara,sams,27
lego,merr,27
arag,arwe,26
bilb,goll,26
boro,sams,26
comp,ganda,26
dwar,elve,26
fara,pipp,26
frod,saur,26
gimli,merr,26
isen,roha,26
mord,ring,26
bree,frod,25
elen,gond,25
elen,isil,25
frod,gond,25
frod,nazg,25
frod,tiri,25
pipp,treeb,25
saru,theod,25
arag,saru,24
elve,shir,24
eome,eowy,24
eome,ganda,24
frod,tomb,24
ganda,rive,24
gimli,gloi,24
gond,isil,24
pipp,roha,24
arwe,elro,23
elve,lego,23
gond,mord,23
sams,orcs,23
bage,bilb,22
elve,ganda,22
eowy,merr,22
goll,mord,22
gond,tiri,22
isen,orth,22
lego,pipp,22
merr,orcs,22
mord,orcs,22
mord,saru,22
ring,saru,22
saru,treeb,22
bage,sams,21
bill,sams,21
cele,gala,21
comp,lego,21
frod,lori,21
gimli,treeb,21
goll,ring,21
gond,theod,21
isen,orcs,21
elve,gimli,20
ganda,goll,20
gimli,pipp,20
gond,osgi,20
saur,orcs,20
arag,isil,19
bilb,elro,19
boro,merr,19
boro,orcs,19
elro,elve,19
elve,saur,19
fara,goll,19
frod,hton,19
gimli,sams,19
gond,shir,19
lego,sams,19
merr,roha,19
merr,theod,19
arag,elve,18
arag,lori,18
arag,treeb,18
bere,fara,18
dwar,gimli,18
dwar,mori,18
eowy,fara,18
fara,roha,18
frod,gala,18
goll,orcs,18
grim,saru,18
hton,shir,18
lego,orcs,18
lego,treeb,18
arag,goll,17
comp,gimli,17
dene,tiri,17
ents,isen,17
eome,gond,17
frod,morg,17
ganda,orcs,17
ganda,tiri,17
gond,ring,17
isen,merr,17
isen,pipp,17
isen,treeb,17
merr,saru,17
mord,roha,17
mord,tiri,17
rive,shir,17
roha,saur,17
sams,saur,17
saru,orcs,17
arag,bilb,16
arag,eowy,16
bage,shir,16
boro,lego,16
dwar,orcs,16
edor,ganda,16
elve,hobb,16
frod,mori,16
gala,lori,16
ganda,grim,16
gber,tomb,16
gond,saru,16
hton,sams,16
isil,saur,16
lori,sams,16
pipp,tiri,16
arag,mori,15
bere,ganda,15
comp,pipp,15
comp,ring,15
comp,sams,15
elro,saur,15
elve,gond,15
elve,lori,15
ents,pipp,15
eome,merr,15
eowy,roha,15
frod,saru,15
gond,merr,15
gond,sams,15
isil,ring,15
pipp,saru,15
rive,sams,15
roha,shir,15
roha,treeb,15
sams,shel,15
treeb,orcs,15
andu,saur,14
bilb,rive,14
boro,gimli,14
duri,gimli,14
edor,theod,14
elen,saur,14
elro,gala,14
elro,sams,14
eowy,theod,14
gala,sams,14
gimli,roha,14
goll,saur,14
gond,morg,14
isen,mord,14
isen,saur,14
pipp,sfax,14
ring,rive,14
roha,orcs,14
arag,isen,13
bilb,hobb,13
bilb,hton,13
bilb,merr,13
boro,isil,13
comp,mori,13
dtow,saur,13
edor,roha,13
elen,nume,13
elro,shir,13
eome,gimli,13
eome,lego,13
eome,orcs,13
eome,saru,13
eorl,theod,13
frod,gild,13
frod,glorf,13
